date,beach,council,region,enterococci,water_temperature,conductivity,latitude,longitude,precipitation_mm
2025-04-28,Chinamans Beach,Mosman Municipal Council,Sydney Harbour,26.0,21.0,51500.0,-33.814094,151.248971,1.8
2025-04-28,Edwards Beach,Mosman Municipal Council,Sydney Harbour,20.0,22.0,52900.0,-33.82138,151.25283,1.8
2025-04-28,Clifton Gardens,Mosman Municipal Council,Sydney Harbour,26.0,22.0,50900.0,-33.839154,151.253349,1.8
2025-04-28,Nielsen Park,Woollahra Municipal Council,Sydney Harbour,24.0,22.0,53100.0,-33.849925,151.266231,1.8
2025-04-24,Newport Beach,Northern Beaches Council,Northern Sydney,0.0,22.0,53700.0,-33.653976,151.32375,2.2
2025-04-24,Mona Vale Beach,Northern Beaches Council,Northern Sydney,2.0,20.0,55000.0,-33.679704,151.313981,2.2
2025-04-24,Avalon Beach,Northern Beaches Council,Northern Sydney,2.0,23.0,54500.0,-33.635658,151.332569,2.2
2025-04-24,Palm Beach,Northern Beaches Council,Northern Sydney,0.0,23.0,53900.0,-33.598779,151.325824,2.2
2025-04-24,Bilgola Beach,Northern Beaches Council,Northern Sydney,1.0,22.0,53800.0,-33.645256,151.328774,2.2
2025-04-24,Bungan Beach,Northern Beaches Council,Northern Sydney,0.0,22.0,54100.0,-33.665919,151.320776,2.2
2025-04-24,Whale Beach,Northern Beaches Council,Northern Sydney,0.0,23.0,54100.0,-33.611207,151.332254,2.2
2025-04-23,South Cronulla Beach,Sutherland Shire Council,Southern Sydney,5.0,21.0,53600.0,-34.055497,151.155347,5.1
2025-04-23,Wanda Beach,Sutherland Shire Council,Southern Sydney,2.0,22.0,52300.0,-34.04393,151.1622,5.1
2025-04-23,Boat Harbour,Sutherland Shire Council,Southern Sydney,6.0,22.0,53600.0,-34.038723,151.200127,5.1
2025-04-23,North Cronulla Beach,Sutherland Shire Council,Southern Sydney,7.0,22.0,54200.0,-34.05101,151.15659,5.1
2025-04-23,Shelly Beach (Sutherland),Sutherland Shire Council,Southern Sydney,3.0,22.0,54200.0,-34.06412,151.15542,5.1
2025-04-23,Elouera Beach,Sutherland Shire Council,Southern Sydney,4.0,22.0,53400.0,-34.04661,151.15966,5.1
2025-04-23,Greenhills Beach,Sutherland Shire Council,Southern Sydney,0.0,22.0,53900.0,-34.03479,151.18418,5.1
2025-04-23,Oak Park Beach,Sutherland Shire Council,Southern Sydney,24.0,22.0,55400.0,-34.06984,151.156853,5.1
2025-04-22,Edwards Beach,Mosman Municipal Council,Sydney Harbour,1.0,22.0,53000.0,-33.82138,151.25283,20.9
2025-04-22,Clontarf Pool,Northern Beaches Council,Sydney Harbour,3.0,22.0,52300.0,-33.80579,151.25172,20.9
2025-04-22,Balmoral Baths,Mosman Municipal Council,Sydney Harbour,1.0,22.0,53100.0,-33.826888,151.253476,20.9
2025-04-22,Manly Cove,Northern Beaches Council,Sydney Harbour,5.0,22.0,53100.0,-33.79944,151.282519,20.9
2025-04-22,Davidson Reserve,Northern Beaches Council,Sydney Harbour,0.0,22.0,51400.0,-33.767929,151.200343,20.9
2025-04-22,Clifton Gardens,Mosman Municipal Council,Sydney Harbour,33.0,22.0,53500.0,-33.839154,151.253349,20.9
2025-04-22,Nielsen Park,Woollahra Municipal Council,Sydney Harbour,0.0,22.0,52700.0,-33.849925,151.266231,20.9
2025-04-22,Murray Rose Pool,Woollahra Municipal Council,Sydney Harbour,7.0,21.0,52300.0,-33.871276,151.246974,20.9
2025-04-22,Gurney Crescent Baths,Northern Beaches Council,Sydney Harbour,0.0,22.0,52700.0,-33.793451,151.235278,20.9
2025-04-22,Watsons Bay,Woollahra Municipal Council,Sydney Harbour,0.0,22.0,53100.0,-33.845115,151.280546,20.9
2025-04-22,Parsley Bay,Woollahra Municipal Council,Sydney Harbour,5.0,22.0,53700.0,-33.849889,151.276441,20.9
2025-04-22,Chinamans Beach,Mosman Municipal Council,Sydney Harbour,0.0,22.0,52100.0,-33.814094,151.248971,20.9
2025-04-22,Greenwich Baths,Lane Cove Council,Sydney Harbour,2.0,21.0,51100.0,-33.84176,151.1829,20.9
2025-04-22,Forty Baskets Pool,Northern Beaches Council,Sydney Harbour,4.0,22.0,53500.0,-33.803133,151.270604,20.9
2025-04-22,Hayes Street Beach,North Sydney Council,Sydney Harbour,23.0,21.0,52400.0,-33.841715,151.219382,20.9
2025-04-22,Northbridge Baths,Willoughby City Council,Sydney Harbour,1.0,22.0,52500.0,-33.806043,151.222754,20.9
2025-04-22,Fairlight Beach,Northern Beaches Council,Sydney Harbour,7.0,22.0,53000.0,-33.800731,151.274778,20.9
2025-04-22,Dawn Fraser Pool,Inner West Council,Sydney Harbour,0.0,22.0,51500.0,-33.853237,151.172823,20.9
2025-04-22,Little Manly Cove,Northern Beaches Council,Sydney Harbour,0.0,22.0,53300.0,-33.807232,151.286808,20.9
2025-04-22,Camp Cove,Woollahra Municipal Council,Sydney Harbour,0.0,22.0,52900.0,-33.839395,151.278758,20.9
2025-04-22,Rose Bay Beach,Woollahra Municipal Council,Sydney Harbour,1.0,21.0,52700.0,-33.870027,151.265932,20.9
2025-04-22,Callan Park Seawall,Inner West Council,Sydney Harbour,1.0,22.0,51000.0,-33.862333,151.159306,20.9
2025-04-16,South Maroubra Beach,Randwick City Council,Sydney City,0.0,21.0,53900.0,-33.951378,151.257322,2.3
2025-04-16,South Cronulla Beach,Sutherland Shire Council,Southern Sydney,5.0,21.0,54200.0,-34.055497,151.155347,2.3
2025-04-16,Bondi Beach,Waverley Council,Sydney City,9.0,21.0,54600.0,-33.891157,151.278267,2.3
2025-04-16,Wanda Beach,Sutherland Shire Council,Southern Sydney,6.0,22.0,54100.0,-34.04393,151.1622,2.3
2025-04-16,North Cronulla Beach,Sutherland Shire Council,Southern Sydney,0.0,21.0,54200.0,-34.05101,151.15659,2.3
2025-04-16,Shelly Beach (Sutherland),Sutherland Shire Council,Southern Sydney,1.0,21.0,54000.0,-34.06412,151.15542,2.3
2025-04-16,Tamarama Beach,Waverley Council,Sydney City,7.0,21.0,53900.0,-33.900805,151.270734,2.3
2025-04-16,Gordons Bay (East),Randwick City Council,Sydney City,2.0,21.0,53500.0,-33.915646,151.264558,2.3
2025-04-16,Maroubra Beach,Randwick City Council,Sydney City,2.0,21.0,53900.0,-33.948896,151.257459,2.3
2025-04-16,Bronte Beach,Waverley Council,Sydney City,0.0,21.0,53100.0,-33.903087,151.26879,2.3
2025-04-16,Elouera Beach,Sutherland Shire Council,Southern Sydney,2.0,21.0,54100.0,-34.04661,151.15966,2.3
2025-04-16,Greenhills Beach,Sutherland Shire Council,Southern Sydney,1.0,21.0,53400.0,-34.03479,151.18418,2.3
2025-04-16,South Maroubra Rockpool,Randwick City Council,Sydney City,1.0,21.0,53900.0,-33.953515,151.258009,2.3
2025-04-16,Malabar Beach,Randwick City Council,Sydney City,0.0,21.0,53800.0,-33.96436,151.252247,2.3
2025-04-16,Coogee Beach,Randwick City Council,Sydney City,4.0,21.0,53700.0,-33.92076,151.25817,2.3
2025-04-16,Little Bay Beach,Randwick City Council,Sydney City,22.0,21.0,53800.0,-33.979882,151.251417,2.3
2025-04-16,Oak Park Beach,Sutherland Shire Council,Southern Sydney,3.0,21.0,54100.0,-34.06984,151.156853,2.3
2025-04-15,Long Reef Beach,Northern Beaches Council,Northern Sydney,5.0,22.0,54100.0,-33.74525,151.30593,1.8
2025-04-15,Dee Why Beach,Northern Beaches Council,Northern Sydney,19.0,22.0,54100.0,-33.753299,151.297338,1.8
2025-04-15,Warriewood Beach,Northern Beaches Council,Northern Sydney,0.0,22.0,54300.0,-33.69107,151.309221,1.8
2025-04-15,Newport Beach,Northern Beaches Council,Northern Sydney,17.0,22.0,51700.0,-33.653976,151.32375,1.8
2025-04-15,North Curl Curl Beach,Northern Beaches Council,Northern Sydney,3.0,22.0,54000.0,-33.767605,151.298194,1.8
2025-04-15,Freshwater Beach,Northern Beaches Council,Northern Sydney,30.0,22.0,54100.0,-33.78164,151.29076,1.8
2025-04-15,Turimetta Beach,Northern Beaches Council,Northern Sydney,0.0,22.0,54100.0,-33.698084,151.310937,1.8
2025-04-15,Avalon Beach,Northern Beaches Council,Northern Sydney,0.0,21.0,53300.0,-33.635658,151.332569,1.8
2025-04-15,Collaroy Beach,Northern Beaches Council,Northern Sydney,11.0,21.0,53900.0,-33.732619,151.302884,1.8
2025-04-15,Bungan Beach,Northern Beaches Council,Northern Sydney,0.0,21.0,52900.0,-33.665919,151.320776,1.8
2025-04-15,North Narrabeen Beach,Northern Beaches Council,Northern Sydney,6.0,22.0,54200.0,-33.705557,151.306407,1.8
2025-04-15,Palm Beach,Northern Beaches Council,Northern Sydney,0.0,22.0,53000.0,-33.598779,151.325824,1.8
2025-04-15,Bilgola Beach,Northern Beaches Council,Northern Sydney,2.0,21.0,53500.0,-33.645256,151.328774,1.8
2025-04-15,South Curl Curl Beach,Northern Beaches Council,Northern Sydney,7.0,22.0,53900.0,-33.773397,151.293337,1.8
2025-04-15,Whale Beach,Northern Beaches Council,Northern Sydney,0.0,22.0,53100.0,-33.611207,151.332254,1.8
2025-04-14,Little Manly Cove,Northern Beaches Council,Sydney Harbour,1.0,23.0,52800.0,-33.807232,151.286808,0.5
2025-04-14,Rose Bay Beach,Woollahra Municipal Council,Sydney Harbour,7.0,22.0,52100.0,-33.870027,151.265932,0.5
2025-04-14,Camp Cove,Woollahra Municipal Council,Sydney Harbour,1.0,22.0,52700.0,-33.839395,151.278758,0.5
2025-04-14,Northbridge Baths,Willoughby City Council,Sydney Harbour,4.0,23.0,51500.0,-33.806043,151.222754,0.5
2025-04-14,Hayes Street Beach,North Sydney Council,Sydney Harbour,3.0,23.0,52200.0,-33.841715,151.219382,0.5
2025-04-14,Fairlight Beach,Northern Beaches Council,Sydney Harbour,0.0,23.0,52800.0,-33.800731,151.274778,0.5
2025-04-14,Chinamans Beach,Mosman Municipal Council,Sydney Harbour,0.0,23.0,52100.0,-33.814094,151.248971,0.5
2025-04-14,Parsley Bay,Woollahra Municipal Council,Sydney Harbour,1.0,23.0,52800.0,-33.849889,151.276441,0.5
2025-04-14,Greenwich Baths,Lane Cove Council,Sydney Harbour,0.0,23.0,51500.0,-33.84176,151.1829,0.5
2025-04-14,Forty Baskets Pool,Northern Beaches Council,Sydney Harbour,0.0,23.0,52900.0,-33.803133,151.270604,0.5
2025-04-14,Gurney Crescent Baths,Northern Beaches Council,Sydney Harbour,0.0,23.0,51400.0,-33.793451,151.235278,0.5
2025-04-14,Watsons Bay,Woollahra Municipal Council,Sydney Harbour,0.0,22.0,52900.0,-33.845115,151.280546,0.5
2025-04-14,Manly Cove,Northern Beaches Council,Sydney Harbour,8.0,23.0,52900.0,-33.79944,151.282519,0.5
2025-04-14,Clifton Gardens,Mosman Municipal Council,Sydney Harbour,0.0,23.0,52500.0,-33.839154,151.253349,0.5
2025-04-14,Nielsen Park,Woollahra Municipal Council,Sydney Harbour,1.0,22.0,53200.0,-33.849925,151.266231,0.5
2025-04-14,Murray Rose Pool,Woollahra Municipal Council,Sydney Harbour,3.0,22.0,52100.0,-33.871276,151.246974,0.5
2025-04-14,Balmoral Baths,Mosman Municipal Council,Sydney Harbour,0.0,23.0,52600.0,-33.826888,151.253476,0.5
2025-04-14,Edwards Beach,Mosman Municipal Council,Sydney Harbour,1.0,23.0,52600.0,-33.82138,151.25283,0.5
2025-04-14,Clontarf Pool,Northern Beaches Council,Sydney Harbour,3.0,23.0,52300.0,-33.80579,151.25172,0.5
2025-04-10,Oak Park Beach,Sutherland Shire Council,Southern Sydney,1.0,22.0,53100.0,-34.06984,151.156853,0.0
2025-04-10,Coogee Beach,Randwick City Council,Sydney City,16.0,22.0,53400.0,-33.92076,151.25817,0.0
2025-04-10,South Maroubra Rockpool,Randwick City Council,Sydney City,23.0,21.0,53700.0,-33.953515,151.258009,0.0
2025-04-10,Malabar Beach,Randwick City Council,Sydney City,17.0,21.0,53800.0,-33.96436,151.252247,0.0
2025-04-10,Elouera Beach,Sutherland Shire Council,Southern Sydney,1.0,22.0,53400.0,-34.04661,151.15966,0.0
2025-04-10,Greenhills Beach,Sutherland Shire Council,Southern Sydney,0.0,22.0,53400.0,-34.03479,151.18418,0.0
2025-04-10,Bronte Beach,Waverley Council,Sydney City,6.0,22.0,54000.0,-33.903087,151.26879,0.0
2025-04-10,Boat Harbour,Sutherland Shire Council,Southern Sydney,0.0,21.0,53500.0,-34.038723,151.200127,0.0
2025-04-10,North Cronulla Beach,Sutherland Shire Council,Southern Sydney,1.0,22.0,53400.0,-34.05101,151.15659,0.0
2025-04-10,Shelly Beach (Sutherland),Sutherland Shire Council,Southern Sydney,0.0,21.0,54100.0,-34.06412,151.15542,0.0
2025-04-10,Maroubra Beach,Randwick City Council,Sydney City,8.0,22.0,53900.0,-33.948896,151.257459,0.0
2025-04-10,Tamarama Beach,Waverley Council,Sydney City,10.0,22.0,53700.0,-33.900805,151.270734,0.0
2025-04-10,Gordons Bay (East),Randwick City Council,Sydney City,1.0,22.0,53600.0,-33.915646,151.264558,0.0
2025-04-10,Clovelly Beach,Randwick City Council,Sydney City,7.0,22.0,54100.0,-33.914578,151.267659,0.0
2025-04-10,South Cronulla Beach,Sutherland Shire Council,Southern Sydney,3.0,22.0,53300.0,-34.055497,151.155347,0.0
2025-04-10,Bondi Beach,Waverley Council,Sydney City,10.0,21.0,54000.0,-33.891157,151.278267,0.0
2025-04-10,Wanda Beach,Sutherland Shire Council,Southern Sydney,0.0,21.0,53800.0,-34.04393,151.1622,0.0
2025-04-10,South Maroubra Beach,Randwick City Council,Sydney City,18.0,22.0,53500.0,-33.951378,151.257322,0.0
2025-04-09,South Curl Curl Beach,Northern Beaches Council,Northern Sydney,6.0,23.0,53900.0,-33.773397,151.293337,0.2
2025-04-09,Whale Beach,Northern Beaches Council,Northern Sydney,6.0,23.0,54200.0,-33.611207,151.332254,0.2
2025-04-09,Collaroy Beach,Northern Beaches Council,Northern Sydney,11.0,23.0,53600.0,-33.732619,151.302884,0.2
2025-04-09,Avalon Beach,Northern Beaches Council,Northern Sydney,0.0,23.0,54500.0,-33.635658,151.332569,0.2
2025-04-09,Bilgola Beach,Northern Beaches Council,Northern Sydney,7.0,23.0,54400.0,-33.645256,151.328774,0.2
2025-04-09,Palm Beach,Northern Beaches Council,Northern Sydney,0.0,23.0,54500.0,-33.598779,151.325824,0.2
2025-04-09,Bungan Beach,Northern Beaches Council,Northern Sydney,3.0,22.0,54200.0,-33.665919,151.320776,0.2
2025-04-09,North Narrabeen Beach,Northern Beaches Council,Northern Sydney,0.0,23.0,53800.0,-33.705557,151.306407,0.2
2025-04-09,Turimetta Beach,Northern Beaches Council,Northern Sydney,3.0,23.0,53700.0,-33.698084,151.310937,0.2
2025-04-09,Newport Beach,Northern Beaches Council,Northern Sydney,4.0,22.0,53900.0,-33.653976,151.32375,0.2
2025-04-09,Mona Vale Beach,Northern Beaches Council,Northern Sydney,11.0,24.0,54200.0,-33.679704,151.313981,0.2
2025-04-09,South Steyne Beach,Northern Beaches Council,Northern Sydney,9.0,22.0,53400.0,-33.79889,151.2903,0.2
2025-04-09,Warriewood Beach,Northern Beaches Council,Northern Sydney,19.0,23.0,53600.0,-33.69107,151.309221,0.2
2025-04-09,Dee Why Beach,Northern Beaches Council,Northern Sydney,5.0,24.0,54500.0,-33.753299,151.297338,0.2
2025-04-09,Long Reef Beach,Northern Beaches Council,Northern Sydney,1.0,23.0,53800.0,-33.74525,151.30593,0.2
2025-04-03,Dee Why Beach,Northern Beaches Council,Northern Sydney,1.0,23.0,54200.0,-33.753299,151.297338,0.0
2025-04-03,Warriewood Beach,Northern Beaches Council,Northern Sydney,0.0,24.0,53600.0,-33.69107,151.309221,0.0
2025-04-03,North Steyne Beach,Northern Beaches Council,Northern Sydney,5.0,22.0,53800.0,-33.79099,151.28801,0.0
2025-04-03,Newport Beach,Northern Beaches Council,Northern Sydney,0.0,23.0,54100.0,-33.653976,151.32375,0.0
2025-04-03,Mona Vale Beach,Northern Beaches Council,Northern Sydney,24.0,23.0,54100.0,-33.679704,151.313981,0.0
2025-04-03,Freshwater Beach,Northern Beaches Council,Northern Sydney,3.0,22.0,54600.0,-33.78164,151.29076,0.0
2025-04-03,North Curl Curl Beach,Northern Beaches Council,Northern Sydney,4.0,23.0,53600.0,-33.767605,151.298194,0.0
2025-04-03,South Steyne Beach,Northern Beaches Council,Northern Sydney,1.0,23.0,54200.0,-33.79889,151.2903,0.0
2025-04-03,Shelly Beach (Manly),Northern Beaches Council,Northern Sydney,11.0,22.0,53800.0,-33.800514,151.297668,0.0
